ticket_id,account_id_hashed,timestamp,text,category,keyword_hits,n_hits,amount_reference,likely_fraud_related
TCK000000,H97108,2026-06-13 06:54:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000001,H76143,2026-06-22 20:59:00,I was billed for a bill payment that never went through.,billing_dispute,[],0,False,0
TCK000002,H17403,2026-07-04 11:44:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000003,H40109,2026-06-17 18:10:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000004,H48685,2026-06-27 02:30:00,USSD menu is not loading for me since this morning.,technical_issue,[],0,False,0
TCK000005,H94535,2026-07-09 05:40:00,I was charged twice for the same merchant payment this week.,billing_dispute,[],0,True,0
TCK000006,H70058,2026-06-02 20:57:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000007,H43801,2026-06-11 10:40:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
TCK000008,H69880,2026-06-15 21:16:00,The app keeps crashing when I try to send money to a contact.,technical_issue,[],0,True,0
TCK000009,H39030,2026-06-20 16:42:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000010,H75343,2026-07-13 17:12:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000011,H70455,2026-06-06 15:54:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000012,H30829,2026-06-07 22:36:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue,[],0,False,0
TCK000013,H62543,2026-06-28 01:47:00,I received an OTP I never requested and then my balance dropped.,account_takeover,['otp'],1,True,1
TCK000014,H35418,2026-06-18 19:46:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000015,H81671,2026-07-30 11:31:00,What documents do I need to upgrade my account tier?,general_inquiry,[],0,False,0
TCK000016,H78373,2026-06-27 23:42:00,How long does a merchant payment normally take to reflect?,general_inquiry,[],0,False,0
TCK000017,H21922,2026-07-13 18:55:00,Can you explain the daily transfer limit on my account tier?,general_inquiry,[],0,False,0
