ticket_id,timestamp,account_id,text,priority,scenario_label,category
TICKET_001926,2026-09-03 08:35:02,NDM_000001,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_000926,2026-09-19 02:10:10,NDM_000002,There is no problem with my account; I need assistance with a payment.,Medium,LEGITIMATE,
TICKET_000416,2026-09-02 16:08:33,NDM_000003,My account is locked after several login attempts.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000003,2026-09-20 23:55:22,NDM_000003,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000008,2026-09-27 22:25:47,NDM_000008,My SIM card was replaced and I cannot log in.,Medium,ATO,Unauthorised Transaction
TICKET_001865,2026-09-28 07:50:34,NDM_000008,I am travelling and cannot access my normal device.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000009,2026-09-29 20:33:51,NDM_000009,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001418,2026-09-25 09:52:50,NDM_000010,I cannot access my account and my password no longer works.,Medium,LEGITIMATE,
TICKET_001137,2026-09-16 06:14:07,NDM_000012,My SIM card was replaced and I cannot log in.,Low,LEGITIMATE,
ATO_TICKET_NDM_000012,2026-09-28 17:09:30,NDM_000012,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000015,2026-09-20 08:25:40,NDM_000015,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000016,2026-09-30 06:42:35,NDM_000016,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_001289,2026-09-19 14:06:05,NDM_000018,Please help me update my registered mobile number.,High,LEGITIMATE,
ATO_TICKET_NDM_000019,2026-09-12 15:07:05,NDM_000019,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
TICKET_001796,2026-09-23 07:28:12,NDM_000019,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
TICKET_001069,2026-09-24 13:25:58,NDM_000019,I received an OTP that I did not request.,Low,LEGITIMATE,
TICKET_000400,2026-09-15 08:34:06,NDM_000020,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
ATO_TICKET_NDM_000020,2026-09-26 09:33:07,NDM_000020,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_000271,2026-09-26 08:46:57,NDM_000022,I made this transaction myself but it is showing as pending.,High,LEGITIMATE,
TICKET_000548,2026-09-20 16:06:53,NDM_000023,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
TICKET_000833,2026-09-12 15:53:58,NDM_000024,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
TICKET_001984,2026-09-28 15:17:05,NDM_000024,I am travelling and cannot access my normal device.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000025,2026-09-30 02:58:16,NDM_000025,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
TICKET_000805,2026-09-15 07:06:55,NDM_000027,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
ATO_TICKET_NDM_000030,2026-09-28 05:35:00,NDM_000030,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000032,2026-09-30 02:08:12,NDM_000032,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000033,2026-09-29 23:52:30,NDM_000033,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_000552,2026-09-11 12:20:32,NDM_000034,I made this transaction myself but it is showing as pending.,Low,LEGITIMATE,
ATO_TICKET_NDM_000035,2026-09-30 17:30:41,NDM_000035,There was a transaction on my account that I did not make.,Medium,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000037,2026-09-29 20:04:52,NDM_000037,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001587,2026-09-28 14:07:42,NDM_000038,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
ATO_TICKET_NDM_000039,2026-09-26 17:14:02,NDM_000039,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
TICKET_001125,2026-09-02 00:42:49,NDM_000043,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
TICKET_000456,2026-09-22 10:07:02,NDM_000043,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
TICKET_000605,2026-09-14 09:57:34,NDM_000045,My account is locked after several login attempts.,Low,LEGITIMATE,
TICKET_000535,2026-09-02 00:53:36,NDM_000046,I made this transaction myself but it is showing as pending.,Medium,LEGITIMATE,
TICKET_001434,2026-09-09 03:56:20,NDM_000048,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
ATO_TICKET_NDM_000050,2026-09-28 06:10:02,NDM_000050,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_000648,2026-09-13 09:33:09,NDM_000053,There is no problem with my account; I need assistance with a payment.,Low,LEGITIMATE,
TICKET_001708,2026-09-23 12:00:06,NDM_000053,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
ATO_TICKET_NDM_000054,2026-09-20 07:39:40,NDM_000054,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_001138,2026-09-26 05:27:01,NDM_000054,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
TICKET_001970,2026-09-29 09:22:52,NDM_000055,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_001913,2026-09-07 19:41:07,NDM_000057,I am travelling and cannot access my normal device.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000058,2026-09-28 03:04:27,NDM_000058,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_000572,2026-09-05 20:50:35,NDM_000059,There was a transaction on my account that I did not make.,Low,LEGITIMATE,
TICKET_000787,2026-09-23 23:54:52,NDM_000061,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
ATO_TICKET_NDM_000062,2026-09-29 23:38:51,NDM_000062,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000064,2026-09-29 13:16:25,NDM_000064,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_001532,2026-09-05 13:10:36,NDM_000065,I changed my phone and need help accessing my account.,Medium,LEGITIMATE,
TICKET_001083,2026-09-28 03:00:11,NDM_000065,There was a transaction on my account that I did not make.,Medium,LEGITIMATE,
TICKET_001759,2026-09-08 06:17:08,NDM_000066,I received an OTP that I did not request.,Low,LEGITIMATE,
ATO_TICKET_NDM_000069,2026-09-26 07:36:26,NDM_000069,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_001281,2026-09-07 04:29:13,NDM_000071,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
ATO_TICKET_NDM_000074,2026-09-24 13:05:28,NDM_000074,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_000823,2026-09-13 17:34:01,NDM_000075,There was a transaction on my account that I did not make.,Low,LEGITIMATE,
ATO_TICKET_NDM_000077,2026-09-22 13:06:48,NDM_000077,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_000861,2026-09-23 04:04:01,NDM_000078,I received an OTP that I did not request.,Low,LEGITIMATE,
ATO_TICKET_NDM_000078,2026-09-29 08:30:41,NDM_000078,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_000644,2026-09-27 02:06:32,NDM_000080,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_001542,2026-09-27 21:58:55,NDM_000082,My SIM card was replaced and I cannot log in.,Low,LEGITIMATE,
ATO_TICKET_NDM_000085,2026-09-23 20:59:42,NDM_000085,There was a transaction on my account that I did not make.,Medium,ATO,Unauthorised Transaction
TICKET_001513,2026-09-22 15:19:36,NDM_000086,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
ATO_TICKET_NDM_000087,2026-09-23 16:57:42,NDM_000087,There was a transaction on my account that I did not make.,High,ATO,Unauthorised Transaction
TICKET_001936,2026-09-19 02:29:10,NDM_000088,There was a transaction on my account that I did not make.,Low,LEGITIMATE,
ATO_TICKET_NDM_000093,2026-09-26 21:03:06,NDM_000093,My SIM card was replaced and I cannot log in.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000096,2026-09-26 17:22:04,NDM_000096,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_000998,2026-09-02 01:07:48,NDM_000097,Please help me update my registered mobile number.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000099,2026-09-30 17:50:36,NDM_000099,My phone was lost and I need to secure my account.,Medium,ATO,Unauthorised Transaction
TICKET_001565,2026-09-05 18:07:27,NDM_000101,I received an OTP that I did not request.,High,LEGITIMATE,
TICKET_001750,2026-09-03 21:30:23,NDM_000102,I received an OTP that I did not request.,Low,LEGITIMATE,
TICKET_000281,2026-09-16 03:32:08,NDM_000102,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
ATO_TICKET_NDM_000103,2026-09-22 21:29:23,NDM_000103,I received an OTP that I did not request.,Medium,ATO,Unauthorised Transaction
TICKET_001942,2026-09-12 19:03:20,NDM_000106,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
ATO_TICKET_NDM_000106,2026-09-19 17:21:28,NDM_000106,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_001171,2026-09-15 13:21:42,NDM_000108,I made this transaction myself but it is showing as pending.,Medium,LEGITIMATE,
TICKET_000144,2026-09-24 06:39:59,NDM_000109,I am travelling and cannot access my normal device.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000111,2026-09-19 05:00:05,NDM_000111,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
TICKET_001014,2026-09-06 07:38:02,NDM_000112,My account is locked after several login attempts.,Low,LEGITIMATE,
TICKET_000531,2026-09-24 13:59:02,NDM_000113,There is no problem with my account; I need assistance with a payment.,Medium,LEGITIMATE,
ATO_TICKET_NDM_000116,2026-09-25 05:08:25,NDM_000116,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000118,2026-09-24 03:59:08,NDM_000118,I received an OTP that I did not request.,Medium,ATO,Unauthorised Transaction
TICKET_000269,2026-09-12 09:12:43,NDM_000119,There is no problem with my account; I need assistance with a payment.,Medium,LEGITIMATE,
TICKET_000950,2026-09-05 10:48:32,NDM_000121,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_001115,2026-09-19 03:15:57,NDM_000127,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
TICKET_001543,2026-09-26 18:57:24,NDM_000129,Please help me update my registered mobile number.,Low,LEGITIMATE,
ATO_TICKET_NDM_000130,2026-09-30 02:49:23,NDM_000130,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_000303,2026-09-10 02:14:19,NDM_000133,There was a transaction on my account that I did not make.,Medium,LEGITIMATE,
TICKET_000750,2026-09-10 19:12:18,NDM_000133,I received an OTP that I did not request.,Medium,LEGITIMATE,
TICKET_001494,2026-09-12 04:10:56,NDM_000133,Please help me update my registered mobile number.,Low,LEGITIMATE,
TICKET_001110,2026-09-26 09:04:22,NDM_000133,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
TICKET_001288,2026-09-03 01:31:23,NDM_000134,Please help me update my registered mobile number.,Medium,LEGITIMATE,
TICKET_001610,2026-09-11 15:42:00,NDM_000135,Please help me update my registered mobile number.,Low,LEGITIMATE,
ATO_TICKET_NDM_000137,2026-09-21 10:22:44,NDM_000137,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
TICKET_001051,2026-09-21 22:18:46,NDM_000137,My phone was lost and I need to secure my account.,Low,LEGITIMATE,
TICKET_000374,2026-09-09 05:17:43,NDM_000138,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
TICKET_000147,2026-09-29 04:46:34,NDM_000138,Please help me update my registered mobile number.,Low,LEGITIMATE,
ATO_TICKET_NDM_000138,2026-09-30 22:16:34,NDM_000138,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000139,2026-09-22 15:31:31,NDM_000139,I received an OTP that I did not request.,High,ATO,Unauthorised Transaction
ATO_TICKET_NDM_000141,2026-09-23 19:40:39,NDM_000141,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_001672,2026-09-28 03:27:39,NDM_000142,I cannot access my account and my password no longer works.,Medium,LEGITIMATE,
TICKET_000814,2026-09-15 23:14:00,NDM_000144,I cannot access my account and my password no longer works.,Low,LEGITIMATE,
TICKET_001079,2026-09-01 12:59:25,NDM_000145,My SIM card was replaced and I cannot log in.,Medium,LEGITIMATE,
TICKET_000726,2026-09-24 07:03:12,NDM_000146,I made this transaction myself but it is showing as pending.,Low,LEGITIMATE,
ATO_TICKET_NDM_000148,2026-09-30 02:23:53,NDM_000148,I noticed a transfer that I do not recognise.,High,ATO,Unauthorised Transaction
TICKET_000194,2026-09-21 00:42:47,NDM_000149,Please help me update my registered mobile number.,Low,LEGITIMATE,
TICKET_000765,2026-09-30 21:55:00,NDM_000150,I made this transaction myself but it is showing as pending.,Low,LEGITIMATE,
TICKET_001642,2026-09-16 08:03:08,NDM_000151,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_000291,2026-09-21 05:38:05,NDM_000151,I made this transaction myself but it is showing as pending.,Medium,LEGITIMATE,
TICKET_001710,2026-09-22 21:27:07,NDM_000151,My phone was lost and I need to secure my account.,High,LEGITIMATE,
TICKET_000205,2026-09-08 21:03:05,NDM_000154,I am travelling and cannot access my normal device.,Low,LEGITIMATE,
TICKET_000893,2026-09-03 08:37:42,NDM_000155,I changed my phone and need help accessing my account.,Low,LEGITIMATE,
TICKET_001068,2026-09-18 16:55:29,NDM_000156,I noticed a transfer that I do not recognise.,Low,LEGITIMATE,
ATO_TICKET_NDM_000157,2026-09-27 09:55:46,NDM_000157,My phone was lost and I need to secure my account.,High,ATO,Unauthorised Transaction
