ticket_id,account_id_hashed,timestamp,text,category
TCK000000,H37134,2026-06-04 01:36:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000001,H46395,2026-07-03 17:00:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000002,H75294,2026-07-28 22:52:00,I was charged twice for the same merchant payment this week.,billing_dispute
TCK000003,H57522,2026-06-11 06:40:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000004,H22672,2026-06-20 22:39:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000005,H88489,2026-07-26 11:34:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000006,H90071,2026-07-17 04:37:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000007,H54524,2026-07-03 19:00:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000008,H34223,2026-06-09 08:27:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000009,H19380,2026-06-22 14:30:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000010,H67375,2026-06-12 17:26:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000011,H06413,2026-06-16 17:59:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000012,H01276,2026-07-09 09:46:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000013,H80537,2026-06-07 06:04:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000014,H29064,2026-06-15 21:42:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000015,H19042,2026-06-24 06:27:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000016,H33656,2026-07-03 20:25:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000017,H48398,2026-07-15 22:00:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000018,H01156,2026-07-05 18:08:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000019,H72014,2026-07-14 00:07:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000020,H55305,2026-07-17 04:57:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000021,H01092,2026-07-30 07:42:00,I received an OTP I never requested and then my balance dropped.,account_takeover
TCK000022,H49306,2026-06-30 03:06:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000023,H54265,2026-07-04 13:41:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000024,H54535,2026-07-01 03:03:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000025,H37244,2026-06-04 04:37:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000026,H08356,2026-07-04 09:15:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000027,H77274,2026-06-15 22:13:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000028,H89881,2026-06-12 08:07:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000029,H04551,2026-06-02 16:38:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000030,H19727,2026-06-01 20:06:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000031,H29580,2026-07-26 05:25:00,USSD menu is not loading for me since this morning.,technical_issue
TCK000032,H35416,2026-07-01 09:18:00,The app keeps crashing when I try to send money to a contact.,technical_issue
TCK000033,H12233,2026-06-20 17:27:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000034,H58548,2026-07-29 00:11:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000035,H87569,2026-07-10 15:08:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000036,H80496,2026-07-06 05:20:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000037,H69062,2026-06-20 01:44:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000038,H91714,2026-06-04 13:26:00,"The transaction fee on my transfer looks higher than usual, please review.",billing_dispute
TCK000039,H30695,2026-07-12 13:27:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000040,H74782,2026-06-12 14:58:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000041,H28991,2026-06-26 17:20:00,"I did not make this transfer, someone accessed my account without permission.",account_takeover
TCK000042,H08521,2026-06-17 09:30:00,I was billed for a bill payment that never went through.,billing_dispute
TCK000043,H16667,2026-07-05 11:30:00,How long does a merchant payment normally take to reflect?,general_inquiry
TCK000044,H16111,2026-07-23 18:36:00,My SIM card stopped working and now money is missing from my wallet.,account_takeover
TCK000045,H10081,2026-07-25 14:05:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000046,H37142,2026-07-04 01:48:00,What documents do I need to upgrade my account tier?,general_inquiry
TCK000047,H51181,2026-07-26 05:08:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000048,H89179,2026-07-01 03:29:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000049,H05663,2026-07-30 07:50:00,"I cannot complete a cash-out at the agent, the app freezes on confirmation.",technical_issue
TCK000050,H40459,2026-07-07 12:11:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000051,H29064,2026-06-19 03:15:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000052,H74664,2026-07-18 01:13:00,Can you explain the daily transfer limit on my account tier?,general_inquiry
TCK000053,H61316,2026-07-01 18:11:00,The app keeps crashing when I try to send money to a contact.,technical_issue
